item_number,name_he,excel_name
"HEATERS","סט גופי חימום לאוטוקלב","DLP KIT"
"PLC101HG","גומיות לזויתן לליטוש קומפוזיט - 12יח  Hi-Gloss  DISC","PLC101HG"
"PLC510SF","גומיות לזויתן לליטוש קומפוזיט - 12יח  Silk-Finish CONE","PLC510SF"
"PLL510HG","גומיות לזויתן עם יהלום לליטוש E-MAX וחרסינה - 12יח","PLL510HG"
"PLL510SF","גומיות לזויתן עם יהלום לליטוש E-MAX וחרסינה - 12יח","PLL510SF"
"PLZ510HG","גומיות ליטוש פולישרס - חבילה 12יח","PLZ510HG"
"PLZ510SF","גומיות ליטוש פולישרס - חבילה 12יח","PLZ510SF"
"DBUDHGF","גומיות לזויתן בצורת מברשת עם יהלום לליטוש נאנו קומפוזיטים - 10יח","DBUDHGF"
"DCP14SF","גומיות לזויתן בצורת שבשבת עם יהלום לליטוש נאנו קומפוזיטים - 10יח","DCP14SF"
"DCP14HG","גומיות לזויתן בצורת שבשבת עם יהלום לליטוש נאנו קומפוזיטים - 10יח","DCP14HG"
"SSP-60C-M1","סטריפים - 10יח","SSP-60C-M1"
"200-022C","מקדח יהלום - 5 יח","200-022C"
"173-016C","מקדח יהלום - 5 יח","173-016S(Short)"
"197-018SC","מקדח יהלום קצר  - 5 יח  C2S/C","197-018S (Short)"
"199-010F","מקדח יהלום - 5 יח","199-010S(Short)"
"199-014XC","מקדח יהלום - 5 יח","199-014S(Short)"
"199-016C","מקדח יהלום - 5 יח  F1RC","199-016S(Short)"
"199-019SC","מקדח יהלום Short - יח5   F2RC","199-019S(Short)"
"H109-010XC","מקדח הליקס - 5 יח","H109-010"
"H110-012SXC","מקדח הליקס - 5 יח","H110-012"
"H111-014XC","מקדח הליקס - 5 יח","H111-014"
"H130-012SXC","מקדח הליקס - 5 יח","H130-012"
"H131-014XC","מקדח הליקס - 5 יח","H131-014"
"H140-012SXC","מקדח הליקס - 5 יח","H140-012"
"H197-020C","מקדח הליקס - 5 יח","H197-020"
"H198-019SXC","מקדח הליקס - 5 יח","H198-019"
"H198-022XC","מקדח הליקס - 5 יח","H198-022"
"H198-019SXC","מקדח הליקס - 5 יח","H198-019(Short)"
"H199-014SXC","מקדח הליקס - 5 יח","H199-014"
"H249-012SXC","מקדח הליקס - 5 יח","H249-012"
"H250-012SXC","מקדח הליקס - 5 יח","H250-012"
"H257-023C","מקדח הליקס - 5 יח","H257-023"
"H299-018XC","מקדח הליקס - 5 יח","H299-018"
"JI-J4QC","טורבינה ראש מיני J4 JINME","jinme j4"
