id,item_number,name_he,excel_name,description_he,image_url,was_active
"6d7f7b99-a3cd-456b-bddd-cbe24f0511a1","FG.TC85616","מקדח טונגסטן לטורבינה להשחזות / חיתוך מתכות קשות מאוד - 5 יח","FG.TC085616","אורך פעיל - 8 מ""מ קוטר פעיל - 1.5 מ""מ","","true"
"22256945-cd98-440b-a467-6fb825a5b0d7","FG.TC85618","מקדח טונגסטן לטורבינה להשחזות / חיתוך מתכות קשות מאוד - 5 יח","FG.TC085618","אורך פעיל - 8 מ""מקוטר פעיל - 1.8 מ""מ","","true"
"1918f2f5-e0d1-41ea-a09f-585f257f4993","FG.TCKC1557","מקדח טונגסטן לחיתוך מתכת - 5 יח","FG.TCKC1557","אורך פעיל - 3.9 מ""מקוטר פעיל - 1 מ""מ","","true"
"181ee8d6-9f3b-4958-83a8-2cf402790519","TG TCKC2IN1","TG TCKC2IN1","TG TCKC2IN1","","","true"
"697d6e82-ec6d-48f6-9967-33753406725d","FG.TC7106","מקדח 12 להבים לליטוש קומפוזיט / הסרת שאריות דבק או קומפוזיט ביישור שיניים - 5 יח","FG.TC007106","7106< "" - "">","","true"
"56da3c6c-f986-41a9-aa14-a5a13ceb380d","FG.TC48L10H","מקדח 12 להבים לליטוש קומפוזיט / הסרת שאריות דבק או קומפוזיט ביישור שיניים - 5 יח","FG.TC48L10H","","","true"
"0650ce1e-73f6-41fe-a982-6bc9530e2557","FG.TC48L12H","מקדח 12 להבים לליטוש קומפוזיט / הסרת שאריות דבק או קומפוזיט ביישור שיניים - 5 יח","FG.TC48L12H","51 אורך פעיל - 8 מ""מ","","true"
"d07b31eb-4a86-4230-9de4-afae7359d5af","FG.TC7406","מקדח 12 להבים לליטוש קומפוזיט / הסרת שאריות דבק או קומפוזיט ביישור שיניים - 5 יח","FG.TC007406","7406 אורך פעיל - 3.4 מ""מ","","true"
"7909babf-ef4a-49b9-9bee-d406be4fd905","FG.TC7642","מקדח 12 להבים לליטוש קומפוזיט / הסרת שאריות דבק או קומפוזיט ביישור שיניים - 5 יח","FG.TC007642","7642< "" - "">","","true"
"4bd6128b-29ed-4052-be14-793c1d34cfed","FG.TC7664","מקדח 12 להבים לליטוש קומפוזיט / הסרת שאריות דבק או קומפוזיט ביישור שיניים - 5 יח","FG.TC007664","7664","","true"
"b1c1cd8a-7a24-4f64-8820-72ef25f2a258","FG.TC1SL","מקדח טונגסטן ארוך לטורבינה - 5 יח","FG.TC1SL","","","true"
"7853107c-c3c4-48c4-b9bc-033e19bc4988","FG.TC2SL","מקדח טונגסטן ארוך לטורבינה - 5 יח","FG.TC2SL","2","","true"
"88c860a2-2ff0-478f-bcf5-67b9a5af638f","FG.TC4SL","מקדח טונגסטן ארוך לטורבינה - 5 יח","FG.TC4SL","4","","true"
"09423692-4b16-41d7-bf88-2b35f55aad3f","FG.TC6SL","מקדח טונגסטן ארוך לטורבינה - 5 יח","FG.TC6SL","6 אורל פעיל - 1.8 מ""מ","","true"
"5e4bfa51-d4bc-4949-b381-a6404ce17200","FG.TC8SL","מקדח טונגסטן ארוך לטורבינה - 5 יח","FG.TC8SL","8","","true"
"bdce00eb-d860-4734-8a3a-004caeda9b21","FG.TC558SL","מקדח טונגסטן לטורבינה - 5 יח","FG.TC558SL","558","","true"
"9e0c58ca-eaf4-4edc-ae59-7af82bb81b0a","FG.TC702SL","מקדח טונגסטן לטורבינה - 5 יח","FG.TC702SL","702","","true"
